,AWARD TITLE,PROPOSAL NO,PROPOSAL TYPE,PRIME ACCOUNT,AWARD NO,AWARD AMOUNT,AWARD PROJECT PI PID,AWARD PROJECT PI,AWARD PI,SPONSOR,SPONSOR TYPE,SPONSOR CODE,ARRA FUNDING,OTHER PERSONNEL,AWARD ADMIN DEPT NO,AWARD ADMIN DEPT,AWARD ADMIN SCHOOL,AWARD PROJECT PI DEPT NO,AWARD PROJECT PI DEPT,AWARD PI HOME DEPT NO,AWARD PI HOME DEPT,AWARD PI HOME SCHOOL,OFFICIAL REPORT DATE,REPORT MONTH,FISCAL YEAR,PROJECT BEGIN DATE,PROJECT END DATE,AWARD MECHANISM,AWARD TYPE,CHESS CODE,PRIME SPONSOR CODE,PRIME SPONSOR,PAYMENT BASIS,PAYMENT METHOD,INVOICE FREQUENCY,Determined Dept,Determined College,SPONSOR AWARD NO,F&A ACTIVITY TYPE,CFDA NO,FINAL REPORT DUE DATE,PROGRAM DESIGNATION,AWARD NOTICE RECEIVED,PASS THRU AGENCY
2602,Optimization of BioProcessing for Dry Preservation of GVs,17-0297,Renewal (Competitive),530641,A18-0145-002,75500,800211836,"Elliott, Gloria","Elliott, Gloria",Smithsonian Institution (SI),Federal,5827,No,"Wang, Shangping",['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,8/22/2018,8,2019,2017-07-01,2019-06-30,Non-competing Continuation/Progress Report,(20 - 25) Contract,01 - Research & Development (R&D),5332,National Institutes of Health (NIH),,,,Mech Engineering & Engineering Sci,ENG,18-SUBC-440-0000392244 MOD1,OR - Organized Research (110),93.351,,,,
890,Japanese Teaching Materials Purchase Grant,18-0168,New,560533,A18-0115-001,800,800802101,"Yokono, Yukiko","Yokono, Yukiko",Japan Foundation,Foundation,13775,No,"Kato, Fumie",['rec8TJ3IyKtDwvCNU'],Languages and Culture Studies,College of Liberal Arts and Sciences,18400,Languages and Culture Studies,18400,Languages and Culture Studies,College of Liberal Arts and Sciences,11/10/2017,11,2018,2017-11-01,2018-10-31,New,(10 - 15) Grant,02 - Instruction,,,,,,Languages and Culture Studies,CLAS,N/A,,0,,,,
3303,Collaborative: Carolina Cyber Defender Scholarship,17-0094,New,530589,A18-0045-001,1180213,800213190,"Chu, Bei-tseng","Chu, Bei-tseng",National Science Foundation (NSF),Federal,5738,No,"Al-Shaer, Ehab; Lipford, Heather; Shehab, Mohamed; Wang, Weichao; Tolone, William;",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,8/1/2017,8,2018,2017-08-01,2023-07-31,New,(10 - 15) Grant,06 - Other,,,,,,SIS,CCI,1662364,OS - Other Sponsored Activities (401),47.076,,,,
3419,Confidential,14-0602,New,530160,A14-0235-005,42520,800975091,"Hofmann, Tino","Hofmann, Tino",Confidential,Federal,Confidential,No,,['rec4eqyjyns2gmrWT'],Center for Optoelectronics and Optical Communications,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,6/6/2017,6,2017,2014-06-15,2020-06-14,,(10 - 15) Grant,01 - Research & Development (R&D),Confidential,Confidential,,,,Optoelectronics Center,CLAS,W911NF-14-1-0299 MOD5,OR - Organized Research (110),12.431,,,,
546,Two-phase sampling with interval-censored data,19-0438,New,530881,A20-0056-001,120000,801030487,"Zhou, Qingning","Zhou, Qingning",National Science Foundation (NSF),Federal,5738,No,,['reclsVwkV3uYB2Qkw'],Mathematics and Statistics,College of Liberal Arts and Sciences,18500,Mathematics and Statistics,18500,Mathematics and Statistics,College of Liberal Arts and Sciences,8/19/2019,8,2020,2019-09-01,2022-08-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Mathematics and Statistics,CLAS,1916170,OR - Organized Research (110),47.049,,,8/26/2019,
2948,Area Acoustic and Electromagnetic Emissions Monitoring - Phase 2,"17-0579, 18-0695",,560455,A17-0176-001,40615,800775778,"Browne, Aidan","Browne, Aidan",Electric Power Research Institute (EPRI),Nonprofit Organization,15586,No,"Cox, Robert",['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,21800,Engineering Technology and Construction Management,21800,Engineering Technology and Construction Management,College of Engineering,3/14/2017,3,2017,2017-02-27,2019-03-31,New,(20 - 25) Contract,"01 - Research & Development (R&D), 01 - Research & Development (R&D)",,,,,,Engineering Tech & Constr Mgmt,ENG,10007299,OR - Organized Research (110),0,,,,
1388,Creating a Usable Security and Privacy Body of Knowledge,15-0201,New,530276,A15-0260-001,194439,800015263,"Lipford, Heather","Lipford, Heather",National Science Foundation (NSF),Federal,5738,No,"Rorrer, Audrey; Martin, Florence;",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,6/3/2015,6,2015,2015-06-01,2018-05-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,SIS,CCI,1500052,OR - Organized Research (110),47.076,,,,
3354,Teacher Education for Equitable Mathematics Instruction: An Exploratory Study of Noyce Program Impacts,18-0072,New,530723,A19-0037-001,15553,800562006,"Fernandes, Anthony","Fernandes, Anthony",University of Arizona,Educational and Research Institutions,12459,No,,['reclsVwkV3uYB2Qkw'],Mathematics and Statistics,College of Liberal Arts and Sciences,18500,Mathematics and Statistics,18500,Mathematics and Statistics,College of Liberal Arts and Sciences,7/9/2018,7,2019,2018-07-01,2020-06-30,New,Incoming_Sub,01 - Research & Development (R&D),5738,National Science Foundation (NSF),,,,Mathematics and Statistics,CLAS,452793,OR - Organized Research (110),47.076,,,,
3914,Research on Aerodynamic Devices for Over-the-Road Trucks,16-0375,New,560325,A16-0201-001,138062,800560361,"Tkacik, Peter","Tkacik, Peter",Michelin Americas Research Corporation (MARC),Business and Industry,9255,No,,['rec1NM8Qi1Vd5d9RM'],Motorsports and Automotive Research Center,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,3/30/2016,3,2016,2016-03-30,2017-03-29,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Motorsports Engineering,ENG,Award Dated 03/30/2016,OR - Organized Research (110),0,,,,
2003,"Bicycle Volume: Counting Machine Validation & Correction, Estimating & Forecasting, and Analysis of Injury Risk",19-0603,New,530867,A20-0040-001,236952,800814741,"Fan, Wei","Fan, Wei",North Carolina Department of Transportation (NCDOT),State Government (NC),17457,No,,['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,7/29/2019,7,2020,2019-08-01,2021-07-31,New,(20 - 25) Contract,01 - Research & Development (R&D),17771,Federal Highway Administration (FHWA),,,,Civil and Environmental Engr,ENG,RP 2020-43,OR - Organized Research (110),20.205,,,,
1429,Sugar Creek Charter School TIMS Computerized Bus Routing Project 2019-20,19-0903,New,560693,A20-0041-001,2700,801004076,"York, Phillip","York, Phillip",Sugar Creek Charter School,Local Government,20697,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,7/29/2019,7,2020,2019-07-01,2020-06-30,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 06-14-2019,PS - Public Service (401),0,,,,
1694,Public Service Fellowship with Centralina Council of Governments,19-0060,New,550254,A19-0047-001,11257,800953975,"Barth, Thomas","Barth, Thomas",Centralina Council of Governments,Local Government,16023,No,,['recr1nGVxrf8kx1R9'],Political Science and Public Administration,College of Liberal Arts and Sciences,19000,Political Science and Public Administration,19000,Political Science and Public Administration,College of Liberal Arts and Sciences,7/26/2018,7,2019,2018-08-15,2018-12-31,New,(10 - 15) Grant,04 - Student Support,,,,,,Political Science & Public Admin,CLAS,"Letter dated July 26, 2018",SS - Student Services (160),0,,,,
236,Leveraging Industry Research to Educate a Future Electric Grid Workforce,13-0607,New,530134,A14-0173-004,33130,800793517,"Chowdhury, Badrul","Chowdhury, Badrul",Electric Power Research Institute (EPRI),Nonprofit Organization,15586,No,"Parkhideh, Babak; Noras, Maciej; Manjrekar, Madhav; Cox, Robert; Cecchi, Valentina;",['recFIJWzoCvufHhxn'],Elec and Computer Engineering,College of Engineering,21900,Electrical and Computer Engineering,21900,Elec and Computer Engineering,College of Engineering,4/6/2015,4,2015,2013-12-01,2019-02-28,Supplement,(20 - 25) Contract,02 - Instruction,5453,Department of Energy (DOE),,,,Electrical & Computer Engineering,ENG,10001630 - MOD 4,OR - Organized Research (110),81.087,,,,
2302,Improved Methods for Generator Rotor Tramming and Charting,"15-0908, 16-0163",,54F181,A14-0043-004,12320,800730144,"Ziegert, John","Ziegert, John",Siemens Energy,Business and Industry,7628,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,9/25/2015,9,2016,2013-08-15,2015-12-31,Supplement,(20 - 25) Contract,"01 - Research & Development (R&D), 01 - Research & Development (R&D)",,,,,,Mech Engineering & Engineering Sci,ENG,Task Order 6 - MOD 5,OR - Organized Research (110),0,,,,
423,NCDOT Wetland Modeling Program: Development of Tidal Wetland Models using QL2 LiDAR,15-0635,New,530258,A15-0217-001,199803,800017758,"Wang, Sheng-guo","Wang, Sheng-guo",North Carolina Department of Transportation (NCDOT),State Government (NC),17457,No,,['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,21800,Engineering Technology and Construction Management,21800,Engineering Technology and Construction Management,College of Engineering,3/23/2015,3,2015,2015-04-01,2018-08-15,New,(20 - 25) Contract,01 - Research & Development (R&D),17771,Federal Highway Administration (FHWA),,,,Engineering Tech & Constr Mgmt,ENG,RP2016-19,OS - Other Sponsored Activities (401),20.205,,,,
731,"Displace, Return, and Reconstruct: Population Movement and Resilience to Instability",17-0840,New,530664,A18-0197-003,102630,800002470,"Walsh, James","Walsh, James",Department of Defense (DOD),Federal,5522,No,"Thill, Jean-Claude",['recr1nGVxrf8kx1R9'],Political Science and Public Administration,College of Liberal Arts and Sciences,19000,Political Science and Public Administration,19000,Political Science and Public Administration,College of Liberal Arts and Sciences,3/22/2019,3,2019,2018-02-20,2021-02-19,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Political Science & Public Admin,CLAS,W911NF-18-1-0089,OR - Organized Research (110),12.431,,,,
456,SHRP 2 Education Connection,15-0717,New,530306,A15-0291-001,9996,800814741,"Fan, Wei","Fan, Wei",Federal Highway Administration (FHWA),Federal,17771,No,,['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,7/16/2015,7,2016,2015-07-16,2016-08-31,New,Cooperative_Agreement,02 - Instruction,,,,,,Civil and Environmental Engr,ENG,DTFH6115H00010,OR - Organized Research (110),20.215,,,,
2452,Heart Math Tutoring Program Evaluation,17-0274,New,560422,A17-0099-001,11475,800982404,"Swiderski, Thomas","Swiderski, Thomas",Heart Math Tutoring,Nonprofit Organization,27993,No,"Lane, Justin",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,11/10/2016,11,2017,2016-10-01,2017-05-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 10/11/2016,PS - Public Service (401),0,,,,
77,Asymptotic and Spectral Analysis of Applied Non-self-adjoint Problems,14-0323,New,530176,A15-0029-002,69934,800017730,"Molchanov, Stanislav","Molchanov, Stanislav",NSF Directorate for Mathematical and Physical Sciences (MPS),Federal,5755,No,"Vainberg, Boris",['reclsVwkV3uYB2Qkw'],Mathematics and Statistics,College of Liberal Arts and Sciences,18500,Mathematics and Statistics,18500,Mathematics and Statistics,College of Liberal Arts and Sciences,5/23/2016,5,2016,2014-08-01,2017-07-31,Non-competing Continuation/Progress Report,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Mathematics and Statistics,CLAS,1410547 MOD1,OR - Organized Research (110),47.049,,,,
3381,CfM Industry Membership Funds Yr 5 and 6 of Phase I,16-0099,New,560301,A16-0123-001,130000,800002491,"Fiddy, Michael","Fiddy, Michael",All Other Business and Industry,Business and Industry,6010,No,,['rec4eqyjyns2gmrWT'],Center for Optoelectronics and Optical Communications,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,11/25/2015,11,2016,2015-08-01,2017-01-31,New,(20 - 25) Contract,01 - Research & Development (R&D),6010,All Other Business and Industry,,,,Optoelectronics Center,CLAS,MOU members,OR - Organized Research (110),0,,,,
1189,"NC coaching, mentoring, performance evaluation and professional development for birth through kindergarten licensed teachers employed in nonpublic school classrooms (NC Pre-K, Developmental Day)",14-0698,New,520253,A15-0086-001,1305323,800202033,"Lambert, Richard","Lambert, Richard",North Carolina Department of Health and Human Services (NCDHHS),State Government (NC),17393,No,"Young, Anne Marie; Wilkins, Patricia;",['recIuBYGXbo48Tq9j'],Educational Leadership,College of Education,20900,Educational Leadership,20900,Educational Leadership,College of Education,9/18/2014,9,2015,2014-09-01,2016-06-30,New,(20 - 25) Contract,03 - Public Service,,,,,,Educational Leadership,Education,30949,RT - Research Training (110),0,,,,
4050,Acquisition of Multi-functional Nanoprobe Station-based Measurement System for Comprehensive in situ Materials Characterization and Measurement in SEM,16-0343,New,530466,A16-0280-001,483339,800369956,"Zhang, Haitao","Zhang, Haitao",Department of Defense (DOD),Federal,5522,No,"Fiddy, Michael; Wei, Qiuming; Zhang, Yong;",['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,8/18/2016,8,2017,2016-09-01,2018-04-30,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Mech Engineering & Engineering Sci,ENG,W911NF-16-1-0531,OR - Organized Research (110),12.63,11/30/2017,,,
474,Charlotte Teachers Institute: Critical Thinking and the Process of Discovery: How Studying the Art and Chemistry of Light Can Foster a Deeper Understanding of Self and the Environment,18-0068,New,530629,A18-0108-001,20000,800365135,"Gartlan, Scott","Gartlan, Scott",North Carolina Humanities Council,Nonprofit Organization,16160,No,"Mara, Roberta; Schmedake, Thomas;",['recL8HmBy3dAYG2WU'],Deans Office College of Liberal Arts and Sciences,College of Liberal Arts and Sciences,15300,Deans Office College of Liberal Arts and Sciences,15300,Deans Office College of Liberal Arts and Sciences,College of Liberal Arts and Sciences,11/1/2017,11,2018,2017-10-01,2019-06-30,New,(10 - 15) Grant,06 - Other,,,,,,College of Liberal Arts & Sciences,CLAS,17-33,,45.129,,,,
2574,Antibody Fragment Stability: A Focus on Domain-Domain Interactions,15-0559,New,560440,A11-0229-004,124575,800367647,"Jacobs, Donald","Livesay, Dennis","MedImmune, Inc.",Business and Industry,9207,No,"Jacobs, Donald",['reccq9hibdY0kGBaj'],Bioinformatics and Genomics,College of Computing and Informatics,18800,Physics and Optical Science,23270,Bioinformatics and Genomics,College of Computing and Informatics,2/1/2015,2,2015,2011-09-15,2017-07-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Bioinformatics Research Center,CCI,Amendment #6,OR - Organized Research (110),0,,,,
956,Using Maximum Common Substructures to Interpret Hybrid Search Results,19-0683,New,530844,A19-0231-001,38193,800202882,"Cooper, Brian","Cooper, Brian",DOC National Institute of Standards and Technology (NIST),Federal,5666,No,,['rec7RUceU5R016UsF'],Chemistry,College of Liberal Arts and Sciences,17400,Chemistry,17400,Chemistry,College of Liberal Arts and Sciences,6/20/2019,6,2019,2019-06-01,2019-09-30,New,Cooperative_Agreement,01 - Research & Development (R&D),,,,,,Chemistry,CLAS,70NANB19H026,OR - Organized Research (110),11.609,,,,
2429,"Rail Transit, Residential Mobility and Income Segregation",18-0146,New,530677,A19-0003-001,165409,800456320,"Delmelle, Elizabeth","Delmelle, Elizabeth",National Science Foundation (NSF),Federal,5738,No,"Smith, Heather; Nilsson, Isabelle; Schuch, Johanna;",['recJCGE2aYBybnDS9'],Geography and Earth Sciences,College of Liberal Arts and Sciences,18100,Geography and Earth Sciences,18100,Geography and Earth Sciences,College of Liberal Arts and Sciences,3/14/2018,3,2018,2018-03-15,2020-08-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Geography and Earth Sciences,CLAS,1759714,OR - Organized Research (110),47.075,,,,
2217,Medicare Data Analysis Services,17-0415,New,560454,A17-0170-001,95000,800456315,"Noone, Joshua","Noone, Joshua","Grifols, Inc.",Business and Industry,23974,No,,['recugR2dTiJXLLCxE'],Public Health Sciences,College of Health and Human Services,23950,Data Science Initiative,22300,Deans Office College of Health and Human Services,College of Health and Human Services,2/28/2017,2,2017,2016-12-06,2017-12-05,New,(20 - 25) Contract,06 - Other,,,,,,Public Health Sciences,CHHS,N/A,OS - Other Sponsored Activities (401),0,,,,
1152,2017 Freedom School Assessment Project,17-0674,New,560481,A17-0214-001,46140,800213077,"Taylor, David","Taylor, David",Freedom School Partners,Nonprofit Organization,23960,No,,['recB2qK6G1z5Fk5ty'],Reading and Elementary Education,College of Education,21100,Reading and Elementary Education,21100,Reading and Elementary Education,College of Education,5/22/2017,5,2017,2017-05-15,2017-12-31,New,(20 - 25) Contract,06 - Other,,,,,,Reading & Elementary ED,Education,2975-2017-0674,OS - Other Sponsored Activities (401),0,,,,
588,Duke Energy SOW 18 - Typhoon Modeling and Analysis of the Rankin Feeder and Associated Resources,18-0472,New,560555,A18-0160-001,99994,800715552,"Cecchi, Valentina","Cecchi, Valentina",Duke Energy Corporation,Business and Industry,11039,No,"Manjrekar, Madhav; Essakiappan, Somasundaram;",['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,2/14/2018,2,2018,2018-01-01,2018-12-31,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,EPIC,ENG,SOW #21,,0,,,,
3024,SOA Educational Institutional Grant,14-0407,New,Math dept,A14-0291-001,5000,800006676,"Shaban, Wafaa","Shaban, Wafaa",Society of Actuaries (SOA),Association,7057,No,,['reclsVwkV3uYB2Qkw'],Mathematics and Statistics,College of Liberal Arts and Sciences,18500,Mathematics and Statistics,18500,Mathematics and Statistics,College of Liberal Arts and Sciences,1/31/2016,1,2016,2014-02-14,2015-03-01,New,(10 - 15) Grant,06 - Other,,,,,,Mathematics and Statistics,CLAS,DIRECT Letter Dated 02-14-2014,AS - Academic Support (152),0,,,,
2509,Collaborative Research: COSEE Florida: Water as Habitat,17-0169,New,530510,A17-0153-001,174648,800972813,"Tankersley, Richard","Tankersley, Richard",National Science Foundation (NSF),Federal,5738,No,,['recL8HmBy3dAYG2WU'],Deans Office College of Liberal Arts and Sciences,College of Liberal Arts and Sciences,24400,Research and Economic Development,15300,Deans Office College of Liberal Arts and Sciences,College of Liberal Arts and Sciences,1/30/2017,1,2017,2016-12-09,2019-09-30,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,College of Liberal Arts & Sciences,CLAS,1724954,OR - Organized Research (110),47.05,,,,
1102,MESO-SCALE TESTING OF SOLIDIFICATION/STABILIZATION OF FLUE GAS DESULFURIZATION WASTE WATER (FGD WW),15-0010,New,560115,A15-0035-001,229150,800015465,"Ogunro, Vincent","Ogunro, Vincent",Duke Energy Corporation,Business and Industry,11039,No,"Khire, Milind",['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,7/14/2014,7,2015,2014-07-01,2015-09-30,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Civil and Environmental Engr,ENG,SOW 006,OR - Organized Research (110),0,,,,
2750,MPA Public Service Fellowship with Charlotte Regional Business Alliance,19-0921,Supplement,550276,A20-0019-001,22494,800953975,"Barth, Thomas","Barth, Thomas",Charlotte Regional Business Alliance,Nonprofit Organization,36614,No,,['recr1nGVxrf8kx1R9'],Political Science and Public Administration,College of Liberal Arts and Sciences,19000,Political Science and Public Administration,19000,Political Science and Public Administration,College of Liberal Arts and Sciences,6/21/2019,6,2019,2019-08-16,2020-08-15,New,(20 - 25) Contract,04 - Student Support,,,,,,Political Science & Public Admin,CLAS,Letter Agreement Dated 06-21-2019,AS - Academic Support (152),0,,,,
3830,2019 NC Space Grant,19-0159,New,530786,A19-0114-001,5000,800747058,"Dahlberg, Jerry","Dahlberg, Jerry",North Carolina Space Grant Consortium (NC Space Grant),Educational and Research Institutions,12923,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,21600,Student Development and Success,College of Engineering,12/11/2018,12,2019,2018-11-15,2019-04-30,New,(20 - 25) Contract,04 - Student Support,5771,National Aeronautics and Space Administration (NASA),,,,Mech Engineering & Engineering Sci,ENG,2015-1942-CT-21,OR - Organized Research (110),43.008,,,,
1500,The Impact of The Relatives Housing Programs (Phase I),18-0369,New,560543,A18-0124-002,24000,800743000,"Lane, Justin","Lane, Justin",The Relatives,Nonprofit Organization,24214,No,"Gavarkavich, Diane",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,6/19/2018,6,2018,2017-11-01,2020-04-30,,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,18-0369,PS - Public Service (401),0,,,,
750,Improved Methods for Mounting and Alignment of Rotors on Slotter,15-0396,New,54J181,A15-0154-001,36999,800730144,"Ziegert, John","Ziegert, John",Siemens Energy,Business and Industry,7628,No,"Morse, Edward",['recnMHQAzyLugKpMo'],Center for Precision Metrology,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,1/1/2015,1,2015,2015-01-01,2015-09-30,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Prec Metrology & Intellignt Mfg Ctr,ENG,Task Order 9 - Dated 11/20/14,OR - Organized Research (110),0,,,,
1950,"What Feeds Firestorms of Emotion? Emotion Regulation, Emotion Contagion, and Collective Behavior in Socio-Political Events",18-0083,New,530765,A18-0280-001,598680,800879019,"Maestas, Cherie","Maestas, Cherie",DOD DA Army Research Office (ARO),Federal,5564,No,"Shaikh, Samira; Gallicano, Tiffany; Zadrozny, Wlodek;",['recr1nGVxrf8kx1R9'],Political Science and Public Administration,College of Liberal Arts and Sciences,19000,Political Science and Public Administration,19000,Political Science and Public Administration,College of Liberal Arts and Sciences,10/11/2018,10,2019,2018-09-30,2022-01-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Political Science & Public Admin,CLAS,W911NF1810449,OR - Organized Research (110),12.63,,,,
3640,Comparing Freeform Optics Metrology Solution,19-0455,Supplement,530675,A18-0202-002,47307,800385922,"Evans, Christopher","Evans, Christopher",University of Rochester,Educational and Research Institutions,12636,No,"Falaggis, Konstantinos",['recnMHQAzyLugKpMo'],Center for Precision Metrology,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,2/1/2019,2,2019,2018-01-01,2019-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Prec Metrology & Intellignt Mfg Ctr,ENG,417254G,OR - Organized Research (110),47.041,,,,
1759,Fundamentals of material removal in silicon carbide for freeform optics,"16-0432, 18-0486",,560314,A16-0187-001,43108,800201296,"Davies, Matthew","Davies, Matthew",University of Rochester,Educational and Research Institutions,12636,No,"Evans, Christopher; Owen, Joseph;",['recnMHQAzyLugKpMo'],Center for Precision Metrology,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,3/9/2016,3,2016,2016-01-01,2019-12-31,New,(20 - 25) Contract,"01 - Research & Development (R&D), 01 - Research & Development (R&D)",6010,All Other Business and Industry,,,,Prec Metrology & Intellignt Mfg Ctr,ENG,416820-G,OR - Organized Research (110),0,,,,
4166,"Materials Characterization Laboratory Services - Master Agreement with Performance Products, Inc.",15-0104,New,560139,A15-0087-001,300,800007279,"Weaver, Katherine","Weaver, Katherine","PBI Performance Products, Inc.",Business and Industry,11423,No,,['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,22150,Energy Production and Infrastructure Center,22000,Mechanical Engineering and Engineering Science,College of Engineering,9/24/2014,9,2015,2014-07-30,2016-06-15,New,(20 - 25) Contract,06 - Other,,,,,,EPIC,ENG,Task Order 1,OR - Organized Research (110),0,,,,
2479,Anson County Community Health Assessment 2017-18,17-0547,New,560466,A17-0204-001,21411,800778963,"Zager, Kathryn","Zager, Kathryn",Carolinas Healthcare System Anson,Business and Industry,28917,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,4/27/2017,4,2017,2017-02-03,2018-03-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 04/18/2017,PS - Public Service (401),0,,,,
1852,Investigation of the Interaction of Multiple Infrared Filters with Long Wavelength Infrared Spectra of Explosives and Interferents,16-0348,New,530404,A16-0205-004,40000,800754593,"Aggarwal, Ishwar","Aggarwal, Ishwar",DOD DN Office of Naval Research (ONR),Federal,5614,No,"Wilson, Christopher; Poutous, Menelaos; Hutchens, Thomas;",['recIFxtNxm1RKXI2Z'],Physics and Optical Science (Dpt),College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,6/11/2018,6,2018,2016-05-01,2019-04-30,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Physics and Optical Science,CLAS,N00014-16-1-2358 MOD3,OR - Organized Research (110),12.3,,,,
4179,SOW22: Hardware Secure Communications for Power Converters interfacing Renewable Energy Resources,18-0716,New,560591,A19-0010-001,160622,800799988,"Manjrekar, Madhav","Manjrekar, Madhav",Duke Energy Corporation,Business and Industry,11039,No,"Saqib, Fareena; Essakiappan, Somasundaram;",['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,5/24/2018,5,2018,2018-07-01,2019-12-31,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,EPIC,ENG,SOW #22,OR - Organized Research (110),0,,,,
3783,STTR: Novel OSINT Platform for Enhanced OSINT Collection,17-0435,New,530578,A17-0238-001,43750,800211578,"Tolone, William","Tolone, William","Zeuss, Inc.",Business and Industry,29872,No,"Matesich, Joseph; Olson, Mark; Bryant, Thomas;",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23000,Deans Office College of Computing and Informatics,23000,Deans Office College of Computing and Informatics,College of Computing and Informatics,6/30/2017,6,2017,2016-12-15,2017-03-31,New,(20 - 25) Contract,01 - Research & Development (R&D),5564,DOD DA Army Research Office (ARO),,,,SIS,CCI,2975-2017-0435,OR - Organized Research (110),12,,,,
